symptom1,symptom2,symptom3,dosha,disease,herbs,diet,avoid,lifestyle
bloating,gas,constipation,Vata,Digestive Problems,"Triphala,Ginger,Fennel","Warm soups,Cooked vegetables,Ghee,Buttermilk","Raw salads,Cold drinks,Beans",Eat warm food and sleep early
acidity,heartburn,nausea,Pitta,Acid Reflux,"Amla,Licorice,Shatavari","Coconut water,Milk,Cucumber,Pomegranate","Spicy food,Coffee,Alcohol,Fried food",Avoid stress and eat slowly
anxiety,stress,insomnia,Vata,Anxiety Disorder,"Ashwagandha,Brahmi,Jatamansi","Warm milk,Almonds,Dates,Banana","Caffeine,Sugar,Alcohol,Processed food",Meditate daily and sleep on time
fatigue,low energy,sluggishness,Kapha,Chronic Fatigue,"Guggul,Trikatu,Ginger","Ginger tea,Light vegetables,Barley,Millet","Dairy,Cold drinks,Fried food,Sugar",Exercise daily and wake up early
joint pain,stiffness,back pain,Vata,Arthritis,"Shallaki,Turmeric,Guggul","Ginger tea,Turmeric milk,Ghee,Garlic","Cold food,Sour food,Fermented food,Raw veg",Oil massage daily with sesame oil
oily skin,acne,rashes,Pitta,Skin Problems,"Neem,Manjistha,Turmeric","Coconut water,Cucumber,Leafy greens,Pomegranate","Spicy food,Alcohol,Dairy,Salty food",Wash face twice daily with neem
hair fall,dandruff,dry scalp,Pitta,Hair Problems,"Bhringraj,Amla,Brahmi","Amla juice,Sesame seeds,Protein rich food","Junk food,Alcohol,Excessive salt,Chemical shampoos",Oil hair twice a week
weight gain,slow digestion,water retention,Kapha,Obesity,"Guggul,Garcinia,Triphala","Warm water with lemon,Ginger tea,Light vegetables","Dairy,Sweet,Cold drinks,Fried food",Walk 30 minutes daily
headache,migraine,eye pain,Pitta,Migraine,"Brahmi,Ginger,Peppermint","Ginger tea,Magnesium rich food,Leafy greens,Water","Alcohol,Caffeine,Processed meat,Chocolate",Sleep in dark room and avoid screens
cold,cough,runny nose,Kapha,Cold and Cough,"Tulsi,Ginger,Honey","Tulsi ginger tea,Turmeric milk,Hot soups,Garlic","Cold drinks,Ice cream,Dairy,Banana",Steam inhalation twice daily
fever,body ache,weakness,Pitta,Viral Fever,"Giloy,Tulsi,Ginger","Warm water,Khichdi,Coconut water,Ginger tea","Fried food,Spicy food,Heavy meals,Alcohol",Rest and drink warm fluids
constipation,hard stool,bloating,Vata,Constipation,"Triphala,Castor oil,Haritaki","Warm water in morning,Ghee,Papaya,Fiber rich food","Cheese,Refined flour,Dehydration,Cold food",Drink 8 glasses warm water daily
frequent urination,burning,lower abdominal pain,Pitta,UTI,"Gokshura,Punarnava,Coriander","Coconut water,Coriander water,Barley water,Cucumber","Spicy food,Alcohol,Coffee,Sugar",Drink 3 liters water daily
dry skin,cracking,dehydration,Vata,Dry Skin,"Aloe vera,Ashwagandha,Sesame","Warm soups,Ghee,Avocado,Sweet fruits","Cold food,Raw salads,Dry food,Alcohol",Apply sesame oil before bath
mood swings,irregular periods,weight gain,Kapha,PCOS,"Shatavari,Lodhra,Ashwagandha","Flaxseeds,Cinnamon,Spearmint tea,Leafy greens","Sugar,Dairy,White flour,Processed food",Yoga daily and reduce stress
shortness of breath,wheezing,chest tightness,Kapha,Asthma,"Vasaka,Tulsi,Pippali","Ginger tea,Turmeric milk,Honey,Garlic","Dairy,Cold food,Banana,Fried food",Pranayama breathing exercise daily
low mood,sadness,loss of interest,Kapha,Depression,"Brahmi,Ashwagandha,Saffron","Saffron milk,Nuts,Banana,Turmeric","Alcohol,Sugar,Processed food,Isolation",Exercise and socialize daily
dizziness,chest pain,stress,Pitta,High Blood Pressure,"Arjuna,Brahmi,Ashwagandha","Banana,Leafy greens,Garlic,Oats,Beets","Salt,Alcohol,Caffeine,Red meat,Fried food",Meditate and reduce salt intake
thirst,frequent urination,blurred vision,Kapha,Diabetes,"Bitter gourd,Fenugreek,Turmeric","Bitter gourd,Fenugreek seeds,Barley,Leafy greens","Sugar,White rice,Potatoes,Fruit juice,Refined flour",Walk after every meal
severe back pain,blood in urine,nausea,Vata,Kidney Stones,"Gokshura,Punarnava,Coriander","Lemon water,Coconut water,Barley water,Pomegranate","Spinach,Nuts,Chocolate,Salt,Animal protein",Drink 4 liters water daily
